Unique ID,TV Show Title,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres,Total Occ
tt0478486,Horrible Histories,7.3,2001,2003,Not Rated,24,[],0.0
tt0124255,Science Court,8.3,1997,2000,TV-Y,30,"[' Comedy', ' Family']",0.0
tt0283705,Anne of Green Gables: The Animated Series,6.4,2001, ,TV-G,,"[' Drama', ' Family']",0.0
tt7848474,Basilisk: Ouka Ninpouchou,4.7,2018),(2018,,,"[' Action', ' Drama']",0.0
tt1952257,Gofrette,7.4,2008,2009,TV-Y,26,[],0.0
tt2189266,Inazuma Eleven Go,6.9,2011,2012,,23,[' Sport'],0.0
tt6501180,Where's Chicky?,7.5,2014,2021,,,"[' Comedy', ' Family']",0.0
tt9148446,Lego Friends,8.4,2014, ,,3,[],0.0
tt0414729,Cédric,7.6,2001, ,Not Rated,13,"[' Comedy', ' Family']",0.0
tt1234601,Nagasarete Airantou,6.7,2007),(2007,,,"[' Comedy', ' Fantasy']",0.0
tt1413677,"My Big, Big Friend",6.9,2011,2014,TV-Y,12,"[' Adventure', ' Comedy']",0.0
tt1738090,The Squid Girl: The Invader Comes from the Bottom of the Sea!,7.5,2010,2014,TV-PG,23,"[' Comedy', ' Drama']",0.0
tt7963070,Garo: Vanishing Line,6.9,2017, ,,20,"[' Action', ' Drama']",0.0
tt8309698,Keloglan Masallari,6.7,2008,2016,,,"[' Adventure', ' Comedy']",0.0
tt0285377,Kong: The Animated Series,5.7,2000,2001,TV-Y7,30,"[' Action', ' Adventure']",0.0
tt8660606,Afterlost: Where I End and You Begin,5.2,2019, ,M,23,"[' Action', ' Adventure']",0.0
tt8938030,Please Take My Brother Away!,7.2,2017,2020,,3,"[' Short', ' Comedy']",0.0
tt2242637,The 99,6.9,2011, ,,,[' Sci-Fi'],0.0
tt8188422,Oswaldo,8.1,2017, ,TV-Y7-FV,,"[' Comedy', ' Family']",0.0
tt4406352,Endangered Species,4.6,2014,2015,,22,[],0.0
tt0939006,Dive Olly Dive!,6.2,2005, ,TV-Y7,11,[' Fantasy'],0.0
tt2623042,Photo Kano,5.7,2013),(2013,TV-14,24,"[' Drama', ' Romance']",0.0
tt2436022,The Magic Roundabout,5.9,2007,2008,,,[' Family'],0.0
tt0300797,The Little Flying Bears,7.9,1990, ,,26,[' Family'],0.0
tt1455926,Matt Hatter Chronicles,8.0,2011, ,TV-PG,22,[],0.0
tt12511004,Stampy's Lovely World,9.6,2012, ,TV-Y7-FV,25,"[' Adventure', ' Comedy']",0.0
tt0229132,Grizzly Tales for Gruesome Kids,7.4,2000,2013,,,"[' Comedy', ' Family']",0.0
tt0362350,Jay Jay the Jet Plane,3.7,1999,2005,TV-Y,11,"[' Family', ' Fantasy']",0.0
tt1815377,Strawberry Shortcake's Berry Bitty Adventures,5.9,2009,2015,TV-Y,29,"[' Adventure', ' Family']",0.0
tt13067534,Otherside Picnic,6.0,2021),(2021,,,"[' Adventure', ' Fantasy']",0.0
tt0168361,Pîtâ Pan no bôken,7.7,1989),(1989,,24,"[' Adventure', ' Comedy']",0.0
tt0453434,Pet Alien,4.8,2004,2005,TV-Y7,,"[' Comedy', ' Family']",0.0
tt6424452,Oushitsu Kyoushi Heine,7.0,2017),(2017,TV-PG,25,"[' Adventure', ' Comedy']",0.0
tt13049926,The Dog & Pony Show,7.0,2020, ,TV-PG,,[' Comedy'],0.0
tt19356316,Spooky Month,8.2,2018, ,,,"[' Short', ' Comedy']",0.0
tt2305660,Ixion Saga DT,6.6,2012, ,,25,"[' Adventure', ' Comedy']",0.0
